index,classid
0,1204404
1,2650087
2,2650102
3,2650105
4,2650106
5,2650107
6,2650119
7,2650123
8,2650125
9,2650128
10,2650129
11,2650131
12,2650133
13,2650136
14,2650137
15,2650138
16,2650150
17,2650158
18,2650161
19,2650162
20,2650163
21,2650165
22,2650168
23,2650180
24,2650187
25,2650189
26,2650190
27,2650193
28,2650197
29,2650199
30,2650201
31,2650211
32,2650213
33,2650215
34,2650216
35,2650228
36,2650234
37,2650237
38,2650242
39,2650245
40,2650246
41,2650247
42,2650252
43,2650256
44,2650258
45,2650269
46,2650280
47,2650281
48,2650326
49,2650332
50,2650334
51,2650349
52,2650405
53,2650432
54,2650434
55,2650435
56,2650436
57,2650437
58,2650442
59,2650477
60,2650479
61,2650483
62,2650486
63,2650487
64,2650491
65,2650494
66,2650496
67,2650503
68,2650508
69,2650516
70,2650524
71,2650530
72,2650532
73,2650536
74,2650542
75,2650544
76,2650546
77,2650548
78,2650558
79,2650561
80,2650562
81,2650564
82,2650586
83,2650593
84,2650594
85,2650599
86,2650600
87,2650607
88,2650609
89,2650611
90,2650613
91,2650614
92,2650617
93,2650621
94,2650623
95,2650625
96,2650627
97,2650631
98,2650635
99,2650637
100,2650638
101,2650645
102,2650650
103,2650651
104,2650652
105,2650654
106,2650655
107,2650661
108,2650667
109,2650669
110,2650674
111,2650675
112,2650676
113,2650682
114,2650685
115,2650687
116,2650690
117,2650693
118,2650696
119,2650701
120,2650702
121,2650704
122,2650710
123,2650714
124,2650716
125,2650720
126,2650725
127,2650730
128,2650744
129,2650747
130,2650751
131,2650753
132,2650765
133,2650767
134,2650769
135,2650772
136,2650774
137,2650777
138,2650782
139,2650784
140,2650786
141,2650799
142,2650801
143,2650805
144,2650808
145,2650810
146,2650813
147,2650815
148,2650818
149,2650827
150,2650828
151,2650829
152,2650832
153,2650841
154,2650845
155,2650848
156,2650849
157,2650855
158,2650857
159,2650858
160,2650865
161,2650868
162,2650876
163,2650879
164,2650883
165,2650903
166,2650905
167,2650910
168,2650915
169,2650927
170,2650928
171,2650930
172,2650933
173,2650934
174,2650936
175,2650938
176,2650944
177,2650954
178,2650965
179,2650968
180,2650970
181,2650986
182,2650993
183,2650997
184,2650999
185,2651035
186,2651038
187,2651039
188,2651049
189,2651051
190,2651054
191,2651060
192,2651073
193,2651074
194,2651076
195,2651078
196,2651086
197,2651088
198,2651089
199,2651092
200,2651095
201,2651097
202,2651098
203,2651100
204,2651102
205,2651104
206,2651105
207,2651109
208,2651113
209,2651114
210,2651115
211,2651117
212,2651122
213,2651219
214,2651225
215,2651250
216,2651289
217,2651301
218,2651304
219,2651310
220,2651311
221,2651315
222,2651317
223,2651319
224,2651327
225,2651330
226,2651335
227,2651371
228,2651411
229,2651423
230,2651482
231,2651495
232,2651516
233,2651522
234,2651528
235,2651529
236,2651567
237,2651569
238,2651575
239,2651580
240,2651583
241,2651586
242,2651595
243,2651600
244,2651605
245,2651606
246,2651608
247,2651611
248,2651615
249,2651617
250,2651621
251,2651622
252,2651629
253,2651652
254,2651656
255,2651660
256,2651661
257,2651663
258,2651667
259,2651706
260,2651707
261,2651709
262,2651748
263,2651766
264,2651772
265,2651790
266,2651797
267,2651798
268,2651799
269,2651816
270,2651820
271,2651822
272,2651824
273,2651825
274,2651826
275,2651831
276,2651832
277,2651833
278,2651834
279,2651835
280,2651836
281,2651837
282,2651839
283,2651841
284,2651843
285,2651847
286,2651849
287,2651850
288,2651851
289,2653038
290,2653041
291,2653132
292,2653133
293,2653166
294,2653197
295,2653207
296,2653226
297,2653244
298,2653248
299,2653250
300,2653251
301,2653256
302,2653268
303,2653272
304,2653279
305,2653283
306,2653284
307,2653286
308,2653291
309,2653294
310,2653301
311,2653308
312,2653310
313,2653311
314,2653316
315,2653321
316,2653354
317,2653355
318,2653359
319,2653361
320,2653362
321,2653366
322,2653367
323,2653377
324,2653384
325,2653385
326,2653397
327,2653400
328,2653414
329,2653423
330,2653426
331,2653428
332,2653446
333,2653458
334,2653462
335,2683200
336,2683207
337,2683209
338,2683214
339,2683217
340,2683228
341,2683234
342,2683238
343,2683245
344,2683250
345,2683252
346,2683254
347,2683259
348,2683260
349,2683262
350,2683264
351,2683265
352,2683266
353,2683272
354,2683283
355,2683286
356,2683293
357,2683297
358,2683485
359,2683490
360,2683495
361,2683499
362,2683500
363,2683501
364,2683503
365,2683516
366,2683517
367,2683520
368,2683525
369,2683533
370,2683540
371,2683542
372,2683544
373,2683545
374,2683548
375,2683550
376,2683551
377,2683552
378,2683554
379,2683555
380,2683564
381,2683568
382,2683570
383,2683576
384,2683579
385,2683581
386,2683584
387,2683589
388,2683592
389,2683597
390,2683599
391,2683600
392,2683604
393,2683608
394,2683622
395,2683625
396,2683628
397,2683629
398,2683631
399,2683634
400,2683637
401,2683642
402,2683644
403,2683645
404,2683648
405,2683650
406,2683652
407,2683679
408,2683703
409,2683710
410,2683711
411,2683713
412,2683722
413,2683742
414,2683743
415,2683748
416,2683749
417,2683750
418,2683756
419,2683759
420,2683776
421,2683778
422,2683783
423,2683784
424,2683786
425,2683794
426,2683797
427,2683807
428,2683825
429,2683827
430,2683828
431,2683840
432,2683841
433,2683845
434,2683849
435,2683866
436,2683871
437,2683880
438,2683884
439,2683894
440,2683909
441,2683936
442,2683942
443,2683946
444,2683955
445,2683969
446,2683995
447,2684001
448,2684012
449,2684026
450,2684030
451,2684036
452,2684046
453,2684070
454,2684087
455,2684096
456,2684102
457,2684114
458,2684116
459,2684120
460,2684169
461,2684171
462,2684174
463,2684178
464,2684184
465,2684191
466,2684192
467,2684235
468,2684243
469,2684261
470,2684264
471,2684273
472,2684283
473,2684287
474,2684290
475,2684296
476,2684303
477,2684311
478,2684314
479,2684320
480,2684334
481,2684338
482,2684353
483,2684363
484,2684378
485,2684391
486,2684404
487,2684406
488,2684410
489,2684449
490,2684451
491,2684482
492,2684483
493,2684485
494,2684487
495,2684495
496,2684500
497,2684507
498,2684510
499,2684517
500,2684528
501,2684541
502,2684549
503,2684560
504,2684563
505,2684584
506,2684586
507,2684591
508,2684598
509,2684610
510,2684615
511,2684616
512,2684621
513,2684626
514,2684627
515,2684633
516,2684640
517,2684641
518,2684648
519,2684674
520,2684690
521,2684709
522,2684773
523,2684809
524,2684818
525,2684844
526,2684855
527,2684865
528,2684868
529,2684870
530,2684878
531,2684887
532,2684894
533,2684896
534,2684904
535,2684914
536,2684915
537,2684916
538,2684918
539,2684921
540,2684940
541,2684969
542,2684973
543,2684977
544,2684984
545,2684993
546,2685005
547,2685085
548,2685169
549,2685181
550,2685185
551,2685265
552,2685280
553,2685303
554,2685308
555,2685313
556,2685318
557,2685326
558,2685361
559,2685383
560,2685400
561,2685414
562,2685422
563,2685437
564,2685464
565,2685476
566,2685479
567,2685484
568,2685507
569,2685524
570,2685527
571,2685542
572,2685546
573,2685552
574,2685577
575,2685580
576,2685601
577,2685608
578,2685611
579,2685619
580,2685628
581,2685648
582,2685654
583,2685663
584,2685681
585,2685683
586,2685693
587,2685700
588,2685711
589,2685721
590,2685776
591,2685783
592,2685796
593,2686150
594,2686157
595,2686170
596,2686212
597,2686231
598,2686253
599,2686262
600,2686270
601,2686273
602,2686276
603,2686287
604,2687182
605,2687186
606,2687201
607,2687210
608,2687216
609,2687220
610,2687227
611,2687245
612,2687253
613,2687255
614,2687259
615,2687265
616,2687271
617,2687286
618,2687296
619,2687298
620,2687301
621,2687628
622,2687632
623,2687644
