classid,species,species name
5325296,0,Aa achalensis Schltr.
5325285,1,Aa colombiana Schltr.
5325271,2,Aa matthewsii Schltr. (Rchb.f.)
5325289,3,Aa paleacea Rchb.f. (Kunth)
5325282,4,Aa weddelliana Schltr. (Rchb.f.)
3092960,5,Aaronsohnia factorovskyi Warb. & Eig
3092961,6,Aaronsohnia pubescens K.Bremer & Humphries (Desf.)
3795022,7,Abarema adenophora Barneby & J.W.Grimes (Ducke)
2977814,8,Abarema barbouriana Barneby & J.W.Grimes (Standl.)
2977887,9,Abarema brachystachya Barneby & J.W.Grimes (DC.)
2977963,10,Abarema gallorum Barneby & J.W.Grimes
2977919,11,Abarema glauca Barneby & J.W.Grimes (Urb.)
2977854,12,Abarema jupunba Britton & Killip (Willd.)
2977897,13,Abarema macradenia Barneby & J.W.Grimes (Pittier)
3794952,14,Abarema mataybifolia Barneby & J.W.Grimes (Sandwith)
2977951,15,Abarema oppositifolia Barneby & J.W.Grimes (Urb.)
3878235,16,Abatia parviflora Ruiz & Pav.
3878213,17,Abatia spicata Sleumer (Turcz.)
3878200,18,Abatia stellata Lillo
10958461,19,"Abdra aprica Al-Shehbaz, M.Koch & Jordon-Thaden (Beadle)"
3049670,20,Abdra brachycarpa Greene (Nutt.)
5599251,21,Abelia chinensis R.Br.
5599124,22,Abelia macrotera Rehder (Graebn. & Buchw.)
7326165,23,Abeliophyllum distichum Nakai
3152707,24,Abelmoschus esculentus Moench (L.)
3940858,25,Abelmoschus ficulneus Wight & Arn. ex Wight (L.)
3152706,26,Abelmoschus manihot Medik. (L.)
8312665,27,Abelmoschus moschatus Medik. (L.)
2685484,28,Abies alba Mill.
2685524,29,Abies amabilis Douglas ex J.Forbes
2685383,30,Abies balsamea Mill. (L.)
2685479,31,Abies bracteata A.Poit. (D.Don)
2685326,32,Abies cephalonica Loudon
2685628,33,Abies cilicica Carrière (Antoine & Kotschy)
2685580,34,Abies concolor Lindl. ex Hildebr. (Gordon)
2685476,35,Abies densa Griff.
2685303,36,Abies durangensis Martínez
2685414,37,Abies firma Siebold & Zucc.
2685318,38,Abies fraseri Poir. (Pursh)
2685361,39,Abies grandis Lindl. (Douglas ex D.Don)
2685507,40,Abies guatemalensis Rehd.
2685611,41,Abies hickelii Flous & Gaussen
2685542,42,Abies holophylla Maxim.
2685663,43,Abies homolepis Siebold & Zucc.
2685681,44,Abies koreana E.H.Wilson
2685313,45,Abies lasiocarpa Nutt. (Hook.)
2685422,46,Abies magnifica A.Murray bis
2685608,47,Abies mariesii Mast.
2685577,48,Abies nebrodensis Mattei (Lojac.)
2685601,49,Abies nephrolepis Maxim. (Trautv. ex Maxim.)
2685552,50,Abies nordmanniana Spach (Steven)
2685546,51,Abies numidica de Lannoy ex Carrière
2685683,52,Abies pindrow Royle (Royle ex D.Don)
2685464,53,Abies pinsapo Boiss.
2685308,54,Abies procera Rehd.
2685527,55,Abies religiosa Schltdl. & Cham. (Kunth)
2685437,56,Abies sachalinensis Mast. (F.Schmidt)
2685654,57,Abies sibirica Ledeb.
2685619,58,Abies spectabilis Mirb. (D.Don)
2685400,59,Abies veitchii Lindl.
2685648,60,Abies vejarii Martínez
3625445,61,Abobra tenuifolia Naudin (Gillies)
2692521,62,Abolboda americana Lanj. (Aubl.)
2692557,63,Abolboda poarchon Seub.
7740532,64,Abrahamia buxifolia Randrian. & Lowry (H.Perrier)
7923810,65,Abrahamia deflexa Randrian. & Lowry (H.Perrier)
8056983,66,Abrahamia ditimena Randrian. & Lowry (H.Perrier)
7695129,67,Abrahamia ibityensis Randrian. & Lowry (H.Perrier)
8256638,68,Abrahamia oblongifolia Randrian. & Lowry (Engl.)
3607012,69,Abrodictyum clathratum Ebihara & K.Iwats. (Tagawa)
7315514,70,Abrodictyum obscurum Ebihara & K.Iwats. (Blume)
5384871,71,Abronia alpina Brandegee
5384873,72,Abronia ameliae Lundell
5384898,73,Abronia ammophila Greene
5384881,74,Abronia angustifolia Greene
5384878,75,Abronia argillosa S.L.Welsh & Goodrich
5384874,76,Abronia bigelovii Heimerl
5384900,77,Abronia carletonii Coult. & Fisher
5384884,78,Abronia elliptica A.Nelson
5384889,79,Abronia fragrans Nutt. ex Hook.
5384876,80,Abronia gracilis Benth.
5384891,81,Abronia latifolia Eschsch.
5384869,82,Abronia macrocarpa Galloway
5384895,83,Abronia maritima Nutt. ex S.Watson
5384875,84,Abronia nana S.Watson
5384868,85,Abronia pogonantha Heimerl
5384892,86,Abronia turbinata Torr. ex S.Watson
5384870,87,Abronia umbellata Lam.
5384880,88,Abronia villosa S.Watson
7278650,89,Abrophyllum ornans Benth. (F.Muell.)
3138522,90,Abrotanella caespitosa Petrie ex Kirk
3138545,91,Abrotanella emarginata Cass. (Cass. ex Gaudich.)
3138541,92,Abrotanella fertilis Swenson
3138529,93,Abrotanella inconspicua Hook.fil.
3138527,94,Abrotanella linearis Berggr.
3138524,95,Abrotanella nivigena F.Muell. (F.Muell.)
3138523,96,Abrotanella patearoa Heads
3138543,97,Abrotanella pusilla Hook.fil. (Hook.fil.)
3138521,98,Abrotanella rostrata Swenson
3138536,99,Abrotanella rosulata Hook.fil. (Hook.fil.)
3138538,100,Abrotanella scapigera Benth. (F.Muell.)
3138539,101,Abrotanella spathulata Hook.fil. (Hook.fil.)
5348729,102,Abrus aureus R.Vig.
5348701,103,Abrus laevigatus E.Mey.
5348711,104,Abrus precatorius L.
5348699,105,Abrus pulchellus Wall. ex Thwaites
3830687,106,Abuta chiapasensis Krukoff & Barneby
3830518,107,Abuta grandifolia Sandwith (C.Mart.)
3830383,108,Abuta mycetandra Krukoff & Barneby
3830289,109,Abuta panamensis Krukoff & Barneby (Standl.)
3830081,110,Abuta steyermarkii Standl. (Standl.)
3940376,111,Abutilon andrieuxii Hemsl.
7279613,112,Abutilon angulatum Mast. (Guill. & Perr.)
3940275,113,Abutilon arequipense Ulbr.
3152639,114,Abutilon auritum Sweet (Wall. ex Link)
3940115,115,Abutilon austroafricanum Hochr.
7779217,116,Abutilon berlandieri A.Gray
10715853,117,Abutilon bivalve Dorr (Cav.)
3939668,118,Abutilon coahuilae Kearney
3939262,119,Abutilon dugesii S.Wats
3152604,120,Abutilon eremitopetalum Caum
7279410,121,Abutilon fraseri Walp. (Hook.)
3152629,122,Abutilon fruticosum Guill. & Perr.
3938715,123,Abutilon glabriflorum Hochr.
3152633,124,Abutilon grandifolium Sweet (Willd.)
3938563,125,Abutilon greveanum Hochr. (Baill.)
7279347,126,Abutilon guineense Baker fil. & Exell (Schum.)
3938481,127,Abutilon hannii Baker f.
3152619,128,Abutilon hirtum Sweet (Lam.)
