index,genus
0,Aa
1,Aaronsohnia
2,Abarema
3,Abatia
4,Abdra
5,Abelia
6,Abeliophyllum
7,Abelmoschus
8,Abies
9,Abobra
10,Abolboda
11,Abrahamia
12,Abrodictyum
13,Abronia
14,Abrophyllum
15,Abrotanella
16,Abrus
17,Abuta
18,Abutilon
19,Acacia
20,Acaciella
21,Acaena
22,Acalypha
23,Acampe
24,Acamptopappus
25,Acanthella
26,Acanthephippium
27,Acanthocalycium
28,Acanthocalyx
29,Acanthocarpus
30,Acanthocephalus
31,Acanthocereus
32,Acanthocladium
33,Acanthocladus
34,Acanthogilia
35,Acantholimon
36,Acantholippia
37,Acanthomintha
38,Acanthopale
39,Acanthophoenix
40,Acanthophyllum
41,Acanthoprasium
42,Acanthopsis
43,Acanthorrhinum
44,Acanthoscyphus
45,Acanthospermum
46,Acanthostachys
47,Acanthostyles
48,Acanthosyris
49,Acanthothamnus
50,Acanthus
51,Acaulimalva
52,Acer
53,Aceratium
54,Acharagma
55,Achatocarpus
56,Achillea
57,Achimenes
58,Achlydosa
59,Achlys
60,Achnatherum
61,Achyrachaena
62,Achyranthemum
63,Achyranthes
64,Achyrocline
65,Achyronychia
66,Achyropappus
67,Achyrophorus
68,Achyropsis
69,Achyrospermum
70,Aciachne
71,Acianthera
72,Acianthus
73,Acicarpha
74,Acidonia
75,Acidoton
76,Acilepis
77,Acineta
78,Acioa
79,Aciotis
80,Aciphylla
81,Acis
82,Acisanthera
83,Ackama
84,Acleisanthes
85,Acmadenia
86,Acmella
87,Acmispon
88,Acmopyle
89,Acnistus
90,Acoelorrhaphe
91,Acokanthera
92,Acomis
93,Aconitum
94,Acorus
95,Acourtia
96,Acrachne
97,Acradenia
98,Acridocarpus
99,Acriopsis
100,Acrisione
101,Acrocarpus
102,Acroceras
103,Acrocomia
104,Acrodon
105,Acrolophia
106,Acronychia
107,Acrophyllum
108,Acropogon
109,Acrorchis
110,Acrosanthes
111,Acrostichum
112,Acrotome
113,Acrotrema
114,Acrotriche
115,Actaea
116,Actephila
117,Actinidia
118,Actiniopteris
119,Actinobole
120,Actinocephalus
121,Actinocheita
122,Actinodaphne
123,Actinodium
124,Actinokentia
125,Actinoscirpus
126,Actinostachys
127,Actinostemma
128,Actinostemon
129,Actinostrobus
130,Actinotus
131,Acystopteris
132,Adansonia
133,Adelia
134,Adelinia
135,Adelobotrys
136,Adelonema
137,Adelphia
138,Adenandra
139,Adenanthera
140,Adenanthos
141,Adenaria
142,Adenia
143,Adenium
144,Adenocalymma
145,Adenocarpus
146,Adenocaulon
147,Adenochilus
148,Adenochlaena
149,Adenocline
150,Adenodolichos
151,Adenogramma
152,Adenolobus
153,Adenoon
154,Adenopeltis
155,Adenophora
156,Adenophorus
157,Adenophyllum
158,Adenopodia
159,Adenosma
160,Adenostemma
161,Adenostoma
162,Adenostyles
163,Adenothamnus
164,Adesmia
165,Adetogramma
166,Adiantopsis
167,Adiantum
168,Adina
169,Adinandra
170,Adinobotrys
171,Adlumia
172,Adolphia
173,Adonidia
174,Adonis
175,Adoxa
176,Adriana
177,Adromischus
178,Aechmea
179,Aedesia
180,Aegialitis
181,Aegiceras
182,Aegilops
183,Aeginetia
184,Aegiphila
185,Aegle
186,Aeglopsis
187,Aegonychon
188,Aegopodium
189,Aeluropus
190,Aeollanthus
191,Aeonium
192,Aerangis
193,Aeranthes
194,Aerides
195,Aerva
196,Aeschynanthus
197,Aeschynomene
